total/episodes,total/steps_per_second,rollout/episodes,reference_action_mean,AI_return,AI_distance,rollout/episode_steps,obs_rms_mean,rollout/actions_std,total/steps,param_noise_stddev,reference_actor_Q_std,rollout/return_history,reference_Q_std,reference_actor_Q_mean,total/epochs,train/param_noise_distance,reference_perturbed_action_std,reference_action_std,rollout/Q_mean,train/loss_critic,rollout/return,train/loss_actor,reference_Q_mean,obs_rms_std,reference_perturbed_action_mean,total/duration,rollout/actions_mean,AI_success_rate
274.0,77.29912526008387,274.0,0.09180774539709091,-1646.8450947143276,12.157791097071025,153.16788321167883,0.3991107940673828,0.8458061814308167,42000,0.010728675346037303,1303.7041015625,-1249.666735134479,1312.8587646484375,-88.63954162597656,21,0.20234653785824774,0.9564339518547058,0.9702180624008179,-59.0510368347168,8023.88671875,-1646.8450947143276,-455.6905517578125,-130.2976531982422,0.28532055020332336,0.1054086983203888,543.3437941074371,0.446565717458725,
282.0,77.29109783789687,282.0,0.029922237619757652,-1596.491109347402,12.143648739089617,155.5709219858156,0.400637149810791,0.8430957794189453,44000,0.009907751681525063,1175.2642822265625,-958.0298412493871,1178.8377685546875,-32.59405517578125,22,0.1993538548052311,0.9638856649398804,0.9647009968757629,-19.49355697631836,9300.26171875,-1596.491109347402,-407.5672607421875,-74.52577209472656,0.2835755944252014,0.060799237340688705,569.2764267921448,0.45136207342147827,
291.0,77.01446140009112,291.0,0.26828956604003906,-1466.1569230381353,12.003346433407392,157.2680412371134,0.4007740616798401,0.8414108157157898,46000,0.010106897490323717,1139.340576171875,-798.3393770027953,1144.2767333984375,110.51541137695312,23,0.19733402982354165,0.9431846737861633,0.9289449453353882,11.776902198791504,8822.537109375,-1466.1569230381353,-496.8364562988281,68.60694122314453,0.2839947044849396,0.1977061629295349,597.2904200553894,0.45356258749961853,
300.0,76.84929264265783,300.0,0.26791054010391235,-1401.7884726698414,11.92573187047512,159.98,0.40162405371665955,0.8380250930786133,48000,0.009712529831903797,1118.6297607421875,-787.0043192723393,1127.11767578125,161.75048828125,24,0.19887434497475623,0.9333377480506897,0.9260798692703247,42.696876525878906,8740.1484375,-1401.7884726698414,-575.4981689453125,115.97452545166016,0.28346753120422363,0.24769189953804016,624.5991127490997,0.45975011587142944,
308.0,76.76587621862066,308.0,0.3425120711326599,-1352.0504865340738,11.858332226997403,161.09415584415584,0.40250474214553833,0.8357744216918945,50000,0.010517278057089798,1136.8067626953125,-686.081648960408,1140.019775390625,204.27301025390625,25,0.19454424247145652,0.9205531477928162,0.9115282893180847,79.91011047363281,4778.53173828125,-1352.0504865340738,-557.9351806640625,160.21820068359375,0.2816069722175598,0.33207520842552185,651.3310661315918,0.4634789526462555,
316.0,76.81091549349345,316.0,0.2959519326686859,-1298.4975328828912,11.840439362839556,164.24367088607596,0.40412357449531555,0.8338345885276794,52000,0.010106897490323717,1159.9599609375,-598.6551219195738,1156.799560546875,194.4707794189453,26,0.20102002039551736,0.9408635497093201,0.941051185131073,114.84257507324219,2690.484375,-1298.4975328828912,-684.540771484375,152.3384246826172,0.2811894118785858,0.286175936460495,676.9871139526367,0.4655519723892212,
324.0,76.7605849263769,324.0,0.2773842513561249,-1258.284391583269,11.782543473545134,166.03703703703704,0.4039650559425354,0.8301553130149841,54000,0.00896935834762211,1216.19873046875,-329.3115261150709,1213.269775390625,241.30458068847656,27,0.19634859561920165,0.9234877228736877,0.9409756660461426,141.031982421875,6078.07177734375,-1258.284391583269,-672.58447265625,197.39793395996094,0.27948811650276184,0.31696659326553345,703.4860410690308,0.47109130024909973,
334.0,76.75071844051502,334.0,0.3838721513748169,-1176.4204233709595,11.69784467476201,167.4550898203593,0.40371349453926086,0.8287109732627869,56000,0.009149642450409314,1297.2664794921875,-54.99836405219125,1289.173583984375,303.365966796875,28,0.1960101917386055,0.9020294547080994,0.9067463278770447,158.8945770263672,4020.53662109375,-1176.4204233709595,-648.2482299804688,257.3056945800781,0.27894774079322815,0.38561737537384033,729.6348638534546,0.47331538796424866,
342.0,76.69090417209367,342.0,0.29818108677864075,-1103.8780586894761,11.685767272765535,168.88011695906434,0.4051036238670349,0.8268460631370544,58000,0.009521154623962158,1308.326904296875,339.32652920380207,1304.2711181640625,300.71722412109375,29,0.19548381596803666,0.9337213635444641,0.9298288226127625,195.21365356445312,2077.5146484375,-1103.8780586894761,-739.1111450195312,255.89044189453125,0.2794191539287567,0.263708233833313,756.282646894455,0.47689011693000793,
349.0,76.63366241208972,349.0,0.2244967818260193,-1034.4116951749863,11.646043781929187,171.432664756447,0.40578773617744446,0.8266711235046387,60000,0.008283051950460692,1330.5618896484375,779.8949787062825,1327.0333251953125,355.2356872558594,30,0.20837249726057053,0.9631541967391968,0.9448440670967102,232.69749450683594,2815.33837890625,-1034.4116951749863,-783.1243896484375,309.9571533203125,0.2783004641532898,0.1521444469690323,782.9457461833954,0.4762759506702423,
356.0,76.51991792011306,356.0,0.19001488387584686,-981.7171649231036,11.573959582072133,173.49157303370785,0.40613168478012085,0.8258547782897949,62000,0.008619377074687717,1334.161376953125,908.8454613864336,1341.304931640625,386.01263427734375,31,0.19455114111304284,0.950089693069458,0.9475955367088318,260.6823425292969,3717.101806640625,-981.7171649231036,-721.4918212890625,344.54327392578125,0.2780768573284149,0.17200155556201935,810.246556520462,0.4778750240802765,
364.0,76.52085268456207,364.0,0.18725049495697021,-818.1591700407498,11.51435465446272,175.33241758241758,0.40770938992500305,0.8235742449760437,64000,0.008283051950460692,1317.0054931640625,1492.8408912876478,1330.325927734375,468.8153076171875,32,0.19564551785588263,0.9377034306526184,0.9549915194511414,305.6363830566406,3028.567138671875,-818.1591700407498,-839.9749755859375,422.60076904296875,0.2774074673652649,0.24513500928878784,836.3733251094818,0.4814791679382324,
372.0,76.46037191940503,372.0,0.2513910233974457,-714.3960235800021,11.47915195486929,177.25,0.40898868441581726,0.8243200182914734,66000,0.009149642450409314,1265.4111328125,1852.716023575492,1274.9986572265625,446.4508361816406,33,0.1988578176498413,0.9162133932113647,0.9225395917892456,338.0784606933594,7127.873046875,-714.3960235800021,-888.4752197265625,409.507080078125,0.2775842547416687,0.25866565108299255,863.1922438144684,0.48048749566078186,
379.0,76.49113309258824,379.0,0.2725751996040344,-650.5476006223993,11.410438388540756,178.73614775725594,0.40966132283210754,0.8224782347679138,68000,0.007803009623294559,1245.597900390625,2091.911660121964,1256.5635986328125,419.55633544921875,34,0.1965579929947853,0.9328895211219788,0.9240805506706238,367.6561584472656,6574.1767578125,-650.5476006223993,-934.9877319335938,381.13641357421875,0.2765864133834839,0.2530209422111511,888.9919295310974,0.48302504420280457,
386.0,76.36639293532502,386.0,0.0956699401140213,-647.854521571236,11.405317578500393,180.94818652849742,0.4102146327495575,0.8229935765266418,70000,0.007205948471980551,1198.51171875,1799.3286241936864,1197.9117431640625,368.5722961425781,35,0.21243916124105452,0.9298248291015625,0.9442216157913208,383.08203125,9146.74609375,-647.854521571236,-919.7713012695312,329.56451416015625,0.276307612657547,0.2202485054731369,916.6335780620575,0.4818404018878937,
393.0,76.32235853677506,393.0,0.2597794532775879,-619.0782178637539,11.399278746814453,182.44274809160305,0.4105701446533203,0.8223391771316528,72000,0.008119843104068908,1262.01953125,1894.6711738952874,1263.3436279296875,368.1566162109375,36,0.2021368770301342,0.9090043306350708,0.927635908126831,403.3776550292969,3026.289306640625,-619.0782178637539,-940.19873046875,328.095947265625,0.2758254110813141,0.32494664192199707,943.3670732975006,0.482994019985199,
399.0,76.2698465113382,399.0,0.2291054129600525,-600.8806383835876,11.38141138987159,184.81954887218046,0.4115271270275116,0.8225887417793274,74000,0.008283051950460692,1335.0450439453125,1810.1698662999543,1333.4111328125,378.68511962890625,37,0.20246942952275276,0.9258023500442505,0.9429289698600769,429.9639892578125,3518.998779296875,-600.8806383835876,-999.0355224609375,340.26849365234375,0.27484947443008423,0.24438749253749847,970.2392673492432,0.48247230052948,
407.0,76.18913040325694,407.0,0.20272701978683472,-595.6002650332015,11.307657476196235,186.017199017199,0.4111247658729553,0.8213130235671997,76000,0.008119843104068908,1386.4886474609375,1751.1048221034375,1382.8236083984375,389.364501953125,38,0.1989893527328968,0.9116921424865723,0.942143976688385,447.7573547363281,17299.0234375,-595.6002650332015,-988.4415893554688,348.5129089355469,0.2743947505950928,0.3254372775554657,997.5176196098328,0.4848792552947998,
415.0,76.20910608449614,415.0,0.1995038241147995,-590.3985473544482,11.281612155258307,187.7012048192771,0.41100257635116577,0.822604238986969,78000,0.008119843104068908,1465.7147216796875,1668.0577108020213,1458.2650146484375,378.3445739746094,39,0.20808488264679909,0.9459226727485657,0.9461619257926941,464.163330078125,4303.47265625,-590.3985473544482,-1122.280029296875,342.2796936035156,0.2741548418998718,0.20738475024700165,1023.4997365474701,0.48261624574661255,
422.0,76.05259618048086,422.0,0.23880507051944733,-520.1952331640222,11.227760708156522,189.01895734597156,0.4116307199001312,0.8221646547317505,80000,0.008449541294664952,1508.0887451171875,1847.6094966906564,1508.168701171875,317.2920837402344,40,0.19475273549556732,0.9341137409210205,0.9230660796165466,489.57958984375,5921.427734375,-520.1952331640222,-1061.8721923828125,288.1014404296875,0.2741555869579315,0.2258729636669159,1051.9036037921906,0.4832710325717926,
430.0,75.99878593542047,430.0,0.18350738286972046,-490.37186817409264,11.166564127900825,190.67906976744186,0.41208386421203613,0.8224579691886902,82000,0.007649259507199841,1460.8604736328125,1828.1371390938773,1466.6663818359375,227.56121826171875,41,0.19675713434815406,0.9523317217826843,0.9394042491912842,515.9948120117188,4266.7060546875,-490.37186817409264,-1073.496826171875,194.06768798828125,0.2743723690509796,0.10328628122806549,1078.9646043777466,0.48129042983055115,
435.0,75.98317567724503,435.0,0.10590255260467529,-521.7408033614234,11.229935107557475,192.81149425287356,0.41341087222099304,0.8249592781066895,84000,0.007649259507199841,1446.4210205078125,1666.997788979098,1448.2734375,165.6355438232422,42,0.2023725725710392,0.9528577923774719,0.9559628367424011,535.8452758789062,4383.791015625,-521.7408033614234,-1103.536865234375,124.53361511230469,0.2744216322898865,0.07609184086322784,1105.5078871250153,0.4754403829574585,
442.0,75.94225410484594,442.0,0.04877687245607376,-484.5691901254126,11.142576753333598,194.4683257918552,0.4137252867221832,0.8252738118171692,86000,0.008119843104068908,1387.3963623046875,1633.4671403636848,1390.4111328125,155.05047607421875,43,0.20740027457475663,0.9686222672462463,0.972353994846344,561.9341430664062,8590.626953125,-484.5691901254126,-1203.4716796875,115.66204833984375,0.2743086814880371,0.052729688584804535,1132.4393911361694,0.47448667883872986,0.0022624434389140274
449.0,75.879267980363,449.0,0.08242329955101013,-430.4012148272171,11.092885352212463,195.728285077951,0.4143994450569153,0.8249903917312622,88000,0.007063962819312372,1409.137451171875,1677.595361586497,1410.603759765625,130.5874786376953,44,0.20544201344251634,0.9549583196640015,0.9640902876853943,592.3262939453125,3437.53125,-430.4012148272171,-1222.653564453125,88.61810302734375,0.27417391538619995,0.17572134733200073,1159.7370710372925,0.47351720929145813,0.0022271714922048997
456.0,75.852319085335,456.0,0.05319615826010704,-483.80748107941565,11.095178043951249,196.84649122807016,0.4150758385658264,0.8253394961357117,90000,0.006924774844929294,1433.87939453125,1288.750993404113,1439.95751953125,180.5637969970703,45,0.21239468038082124,0.9572901725769043,0.9626619815826416,617.5509643554688,10458.98046875,-483.80748107941565,-1200.713623046875,119.74737548828125,0.2743012309074402,0.12546682357788086,1186.5161287784576,0.47239887714385986,0.0021929824561403508
464.0,75.88383885461482,464.0,0.11796191334724426,-388.0392215675698,11.012063782811826,198.0625,0.41537442803382874,0.8248847723007202,92000,0.007498538875796335,1322.252685546875,1177.597390874805,1331.7252197265625,345.60626220703125,46,0.19681221768260002,0.9611587524414062,0.9652500748634338,646.5147094726562,9176.2626953125,-388.0392215675698,-1223.7679443359375,278.2408752441406,0.2738516330718994,0.15568116307258606,1212.3793601989746,0.47235360741615295,0.0021551724137931034
472.0,75.84046678805784,472.0,0.10537014901638031,-379.86005222850855,10.93364414749692,198.9300847457627,0.41513267159461975,0.8245789408683777,94000,0.007205948471980551,1343.02001953125,864.6137611990467,1351.5635986328125,414.77197265625,47,0.2012861117720604,0.9571400880813599,0.9633407592773438,660.780517578125,5253.54736328125,-379.86005222850855,-1286.7381591796875,355.56048583984375,0.27369529008865356,0.08495593070983887,1239.4438481330872,0.47270524501800537,0.00211864406779661
481.0,75.80842782307988,481.0,0.13734328746795654,-332.5420154503369,10.869561646500504,199.1081081081081,0.4155999720096588,0.8242025375366211,96000,0.006924774844929294,1323.505126953125,857.6132445029049,1337.87548828125,501.0126953125,48,0.20255867630243302,0.9572283029556274,0.966434895992279,686.3339233398438,4280.32080078125,-332.5420154503369,-1159.0333251953125,446.6612548828125,0.2735486626625061,0.17880341410636902,1266.3499660491943,0.47325682640075684,0.004158004158004158
490.0,75.74973777756975,490.0,0.17392602562904358,-354.92223769825046,10.838021959435792,199.8938775510204,0.4149532914161682,0.8257585763931274,98000,0.00735078803626736,1371.54736328125,755.7102381447592,1370.0313720703125,542.6531982421875,49,0.1962449650466442,0.9577450156211853,0.9577124714851379,700.9833984375,5454.13427734375,-354.92223769825046,-1216.3087158203125,486.08929443359375,0.27396416664123535,0.19788983464241028,1293.7338514328003,0.47010430693626404,0.004081632653061225
