reference_actor_Q_mean,reference_actor_Q_std,reference_Q_mean,reference_perturbed_action_mean,reference_action_mean,AI_return,rollout/Q_mean,rollout/actions_std,param_noise_stddev,reference_perturbed_action_std,total/episodes,total/epochs,obs_rms_std,reference_Q_std,total/duration,AI_success_rate,obs_rms_mean,train/loss_actor,rollout/return,AI_distance,rollout/episodes,train/param_noise_distance,reference_action_std,rollout/return_history,rollout/actions_mean,train/loss_critic,total/steps_per_second,total/steps,rollout/episode_steps
1189.7618408203125,1244.3079833984375,1166.7872314453125,0.06324613839387894,0.04411076754331589,2188.8757694564138,883.5020751953125,0.8810147643089294,0.008792626553888941,0.8287402987480164,246.0,23,0.21898649632930756,1256.9559326171875,438.56243920326233,0.008130081300813009,0.4675464928150177,-1302.173828125,2188.8757694564138,8.766853534858353,246.0,0.20441610634326934,0.8296538591384888,2153.1487046524817,0.2940409183502197,1817.4013671875,104.88814337034502,46000,186.6991869918699
1201.156982421875,1226.7254638671875,1179.6357421875,0.19361501932144165,0.12288367003202438,2206.299268556776,903.5768432617188,0.8791982531547546,0.008619377074687717,0.8177195191383362,254.0,24,0.22031986713409424,1241.26904296875,458.3072645664215,0.007874015748031496,0.4692177474498749,-1323.40771484375,2206.299268556776,8.756929763648378,254.0,0.2158341497182846,0.8199712634086609,2106.1210142003347,0.28403499722480774,1796.947021484375,104.73322967160487,48000,187.8228346456693
1228.109619140625,1181.072265625,1203.3050537109375,0.1376611590385437,0.18918879330158234,2197.106653244094,910.3442993164062,0.8777758479118347,0.008792626553888941,0.8314163088798523,267.0,25,0.2208605855703354,1196.820556640625,476.0884771347046,0.00749063670411985,0.4680107831954956,-1298.6162109375,2197.106653244094,8.82466023778408,267.0,0.19966447740793228,0.8266628384590149,1960.4064147642075,0.275086373090744,2044.7425537109375,105.02249561031276,50000,187.03370786516854
1213.86083984375,1204.1412353515625,1189.382568359375,0.2352001965045929,0.2015240490436554,2136.5592802397778,905.0471801757812,0.8774245977401733,0.008619377074687717,0.8308354020118713,275.0,26,0.2205386608839035,1218.8033447265625,498.1127474308014,0.007272727272727273,0.46461009979248047,-1340.5992431640625,2136.5592802397778,8.847702660274331,275.0,0.19633900731801987,0.8335900902748108,1754.1023040628997,0.26487067341804504,4049.6884765625,104.39403582463812,52000,187.57818181818183
1278.23046875,1147.0068359375,1254.297607421875,0.21620498597621918,0.21615642309188843,2084.269824890115,915.75,0.8760269284248352,0.008449541294664952,0.8286926746368408,284.0,27,0.22111409902572632,1160.783935546875,517.4343271255493,0.007042253521126761,0.4638625383377075,-1350.6478271484375,2084.269824890115,8.912104080360182,284.0,0.20363654553890229,0.8355676531791687,1532.999261619463,0.2615627348423004,2314.304443359375,104.36106993515631,54000,189.46478873239437
1286.8232421875,1164.6033935546875,1262.649169921875,0.1787475049495697,0.2556179463863373,2058.7770916193513,907.3492431640625,0.8765566945075989,0.008619377074687717,0.7978247404098511,295.0,28,0.2231481820344925,1178.3214111328125,536.6925895214081,0.006779661016949152,0.4604587256908417,-1269.701904296875,2058.7770916193513,8.985566560097492,295.0,0.201873097717762,0.7938480973243713,1575.907465913888,0.2544417679309845,2460.7890625,104.34278596978135,56000,189.44406779661017
1287.778564453125,1161.568359375,1264.77978515625,0.2530139982700348,0.2302667200565338,2025.9650707497472,910.4375610351562,0.8745617270469666,0.008449541294664952,0.7788860201835632,304.0,29,0.22323989868164062,1172.2528076171875,555.5759012699127,0.006578947368421052,0.460507869720459,-1298.88134765625,2025.9650707497472,9.026262964851615,304.0,0.20691945374011994,0.7765823602676392,1457.7977528917293,0.24862484633922577,1816.5445556640625,104.3961767733733,58000,190.47697368421052
1323.67333984375,1159.8631591796875,1301.0460205078125,0.16091322898864746,0.1507856547832489,1997.7430536070858,917.9347534179688,0.874380886554718,0.009149642450409314,0.7812133431434631,314.0,30,0.22370879352092743,1170.279296875,574.944486618042,0.006369426751592357,0.4585338830947876,-1267.705810546875,1997.7430536070858,9.069462768192366,314.0,0.2032521142065525,0.7922044992446899,1409.1032883351445,0.24081924557685852,6256.08056640625,104.35790132180246,60000,190.62101910828025
1276.837646484375,1173.024658203125,1258.39697265625,0.21944966912269592,0.2189617156982422,2023.1445830286243,946.1520385742188,0.872934103012085,0.009521154623962158,0.8180687427520752,323.0,31,0.2345539778470993,1182.3065185546875,593.3920719623566,0.006191950464396285,0.45972469449043274,-1261.3690185546875,2023.1445830286243,9.022316734148637,323.0,0.20681701451539994,0.7860960960388184,1600.7935482735174,0.23808492720127106,3144.22314453125,104.48403834410033,62000,191.61300309597524
1258.092041015625,1172.4119873046875,1239.8148193359375,0.29099470376968384,0.29410600662231445,2002.4871704860511,955.1936645507812,0.8723706603050232,0.008619377074687717,0.783724308013916,331.0,32,0.23503796756267548,1181.7901611328125,610.5569653511047,0.00906344410876133,0.4609130918979645,-1261.6226806640625,2002.4871704860511,9.095293757630742,331.0,0.20670890510082246,0.7917856574058533,1631.7295920488216,0.23161636292934418,5623.18603515625,104.82232393040735,64000,192.80060422960725
