rollout/return,rollout/episode_steps,param_noise_stddev,train/loss_critic,train/loss_actor,reference_perturbed_action_std,AI_success_rate,AI_distance,total/epochs,reference_Q_std,train/param_noise_distance,total/duration,total/episodes,reference_Q_mean,obs_rms_std,rollout/episodes,rollout/Q_mean,reference_perturbed_action_mean,total/steps,reference_action_std,obs_rms_mean,total/steps_per_second,AI_return,rollout/actions_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/return_history,rollout/actions_mean,reference_action_mean
-493.32149655995124,78.43931623931624,0.0031866803478046105,138.85714721679688,103.20600891113281,0.9333552718162537,,12.689177730056374,23,84.63352966308594,0.20464679583907128,665.6649062633514,585.0,-193.1902618408203,0.13001294434070587,585.0,-124.06920623779297,0.20037606358528137,46000,0.9450405240058899,nan,69.10383823328881,-493.32149655995124,0.8123833537101746,-186.84951782226562,85.16775512695312,-447.0868797185709,0.4321175217628479,0.18406784534454346
-487.3534083675219,78.59344262295082,0.0031866803478046105,145.2509307861328,94.57028198242188,0.9189292192459106,,12.666530244805166,24,79.12403106689453,0.20966022774577142,695.9463274478912,610.0,-200.19241333007812,0.12971527874469757,610.0,-120.74162292480469,0.27156105637550354,48000,0.9271873235702515,nan,68.97083597814371,-487.3534083675219,0.8133516311645508,-193.40945434570312,79.82389831542969,-403.89615066174053,0.4277992844581604,0.292003870010376
-490.73983132795144,79.07120253164557,0.0032507326227954833,132.57601928710938,91.30311584472656,0.9148502349853516,,12.67189691779572,25,78.92911529541016,0.20913745880126952,726.2302541732788,632.0,-206.00543212890625,0.12956829369068146,632.0,-119.05853271484375,0.3460679352283478,50000,0.8656096458435059,nan,68.84868774424534,-490.73983132795144,0.8174242377281189,-198.04591369628906,79.03926086425781,-448.7800938073575,0.4190385639667511,0.4099969267845154
-473.83938993479353,79.40122511485451,0.003123890155675532,172.80087280273438,89.2182846069336,0.8869032263755798,,12.647044517184682,26,80.53604888916016,0.18990516245365144,757.0482087135315,653.0,-212.01988220214844,0.12977765500545502,653.0,-115.32806396484375,0.3695451617240906,52000,0.889690637588501,nan,68.68783176749699,-473.83938993479353,0.8210138082504272,-205.0145721435547,81.52881622314453,-335.1428830456067,0.40971145033836365,0.36212924122810364
-478.20051478441377,80.65967016491754,0.0031866803478046105,255.7080078125,84.90837097167969,0.9041870832443237,,12.621686312427812,27,90.91374969482422,0.20321465969085695,787.8848769664764,667.0,-210.412841796875,0.12964971363544464,667.0,-112.07537078857422,0.33066338300704956,54000,0.9000751376152039,nan,68.5379318459715,-478.20051478441377,0.822067141532898,-203.9864501953125,93.1312026977539,-392.8311961520812,0.40260809659957886,0.3365936279296875
-482.24820130803556,82.09677419354838,0.002828017005826892,309.50177001953125,61.468414306640625,0.8845987915992737,0.001466275659824047,12.57633144375169,28,98.71466064453125,0.21045336335897447,820.2720062732697,682.0,-208.6405029296875,0.12954305112361908,682.0,-107.290283203125,0.3538462221622467,56000,0.9039760828018188,nan,68.27003673381958,-482.24820130803556,0.8214387893676758,-200.53619384765625,99.7464828491211,-416.5491932215659,0.4004315733909607,0.2723909914493561
-488.03148363427186,81.98444130127298,0.002942845836611657,247.48358154296875,57.6707763671875,0.9031941890716553,0.0014144271570014145,12.616606777407332,29,99.67828369140625,0.19699507921934128,851.2261829376221,707.0,-194.14852905273438,0.12940478324890137,707.0,-106.0665512084961,0.31731489300727844,58000,0.8850946426391602,nan,68.13700184813305,-488.03148363427186,0.8233969807624817,-185.76318359375,99.66970825195312,-498.6044280088227,0.3948201835155487,0.36016392707824707
-489.1498867494894,82.76144244105409,0.002828017005826892,330.986572265625,45.15070343017578,0.8789925575256348,0.0013869625520110957,12.56900565337731,30,96.857421875,0.20582463055849076,882.302891254425,721.0,-192.85894775390625,0.12923623621463776,721.0,-103.98287963867188,0.39039403200149536,60000,0.871720552444458,nan,68.00385739946319,-489.1498867494894,0.8255741000175476,-185.2157440185547,98.57145690917969,-468.19626148218794,0.3867068588733673,0.37151607871055603
-490.4301664953468,83.50673854447439,0.002942845836611657,342.3157043457031,37.18535614013672,0.8979390263557434,0.0013477088948787063,12.52715449408796,31,99.97311401367188,0.19611908450722695,913.0898332595825,742.0,-186.1394805908203,0.12914258241653442,742.0,-100.5958251953125,0.3538682460784912,62000,0.9044764637947083,nan,67.90131457128382,-490.4301664953468,0.827059268951416,-178.50376892089844,101.90470886230469,-588.7669005438836,0.3808950185775757,0.32493293285369873
-494.06284180512245,84.01051248357425,0.002828017005826892,276.617919921875,32.37019348144531,0.8789992332458496,0.001314060446780552,12.508261841097958,32,110.95442962646484,0.20718347787857055,944.5233387947083,761.0,-186.36904907226562,0.12903103232383728,761.0,-97.96856689453125,0.39932796359062195,64000,0.8965370059013367,nan,67.75904561730515,-494.06284180512245,0.828787088394165,-179.56674194335938,113.59762573242188,-582.5429552800341,0.3763207495212555,0.36975809931755066
