total/epochs,rollout/episode_steps,train/loss_critic,obs_rms_mean,reference_actor_Q_mean,rollout/actions_mean,train/param_noise_distance,rollout/Q_mean,rollout/return_history,obs_rms_std,reference_Q_std,AI_distance,rollout/return,reference_actor_Q_std,reference_perturbed_action_std,AI_return,rollout/actions_std,total/steps_per_second,rollout/episodes,train/loss_actor,reference_Q_mean,total/duration,reference_action_std,total/steps,AI_success_rate,total/episodes,param_noise_stddev,reference_action_mean,reference_perturbed_action_mean
22,170.10852713178295,577.3928833007812,0.46198543906211853,199.91029357910156,0.2430463433265686,0.20720761224627496,-33.22572326660156,1424.1537206615278,0.2012578696012497,329.2718200683594,12.48843489977285,76.96063924266525,328.85052490234375,0.8999695777893066,76.96063924266525,0.9301816821098328,73.41593807284417,258.0,-321.47515869140625,181.7520294189453,599.3249034881592,0.9285421371459961,44000,0.003875968992248062,258.0,0.007063962819312372,0.2781653106212616,0.3643190860748291
23,171.0561797752809,870.1726684570312,0.46436619758605957,264.44964599609375,0.24597637355327606,0.2037772651016712,-16.751934051513672,1606.6309622537522,0.2027357667684555,366.05242919921875,12.398706008981238,146.66960527617383,366.16064453125,0.9693581461906433,146.66960527617383,0.9298610091209412,73.34844915670969,267.0,-359.87152099609375,248.41082763671875,627.1434574127197,0.9593268036842346,46000,0.003745318352059925,267.0,0.007063962819312372,0.17145395278930664,0.09784502536058426
24,172.12230215827338,2219.26025390625,0.4623308479785919,315.2901611328125,0.24324896931648254,0.20825071707367898,-1.6070520877838135,1676.2131827092755,0.20351634919643402,401.86322021484375,12.349459463144672,187.9077333421855,401.638427734375,0.9290775656700134,187.9077333421855,0.9309359788894653,73.28234994710112,278.0,-448.3928527832031,301.98626708984375,655.0008294582367,0.9238052368164062,48000,0.0035971223021582736,278.0,0.00678832942351661,0.3251743018627167,0.29076728224754333
25,172.31379310344826,1811.7086181640625,0.46358633041381836,340.9443359375,0.25038668513298035,0.1881152519583702,29.73995018005371,1781.4054684244027,0.2043466567993164,411.5129089355469,12.220838190363013,268.35387056615843,412.044189453125,0.9136136174201965,268.35387056615843,0.9292395710945129,73.05838959718696,290.0,-483.3577880859375,326.0894470214844,684.3840970993042,0.9104962348937988,50000,0.0034482758620689655,290.0,0.007498538875796335,0.34024009108543396,0.3386090397834778
26,171.2805280528053,933.6345825195312,0.462146133184433,383.3424377441406,0.255364328622818,0.20672666937112807,59.121856689453125,1833.0211303164167,0.20578791201114655,429.346923828125,12.015586689282534,332.5070356514727,426.94085693359375,0.9043890237808228,332.5070356514727,0.9279964566230774,73.1637049691892,303.0,-554.9251098632812,365.51910400390625,710.7349200248718,0.9184401631355286,52000,0.0033003300330033004,303.0,0.007205948471980551,0.30676761269569397,0.3409954309463501
27,171.7611464968153,849.1988525390625,0.46184226870536804,434.5340881347656,0.2571554183959961,0.20829534500837327,87.23553466796875,1884.4320351311494,0.2059464305639267,449.7276916503906,11.83876394202872,399.23273281693946,448.49853515625,0.9021626710891724,399.23273281693946,0.9274557828903198,73.27209615201701,314.0,-628.7484130859375,416.00830078125,736.9790525436401,0.915077269077301,54000,0.0031847133757961785,314.0,0.006924774844929294,0.32736465334892273,0.35670313239097595
28,172.24923076923076,3034.216552734375,0.4638380706310272,495.49798583984375,0.26146459579467773,0.1994916096329689,120.9557876586914,2047.097489366644,0.2061198502779007,458.9154357910156,11.725409294452223,462.4089016726193,458.9698791503906,0.9158540964126587,462.4089016726193,0.9261367917060852,73.40886921984962,325.0,-702.3130493164062,474.1011962890625,762.8506009578705,0.9018563032150269,56000,0.003076923076923077,325.0,0.005675160932492605,0.32608649134635925,0.23750820755958557
29,172.25892857142858,2657.02587890625,0.46393582224845886,548.78515625,0.2632499933242798,0.2112367793917656,148.48826599121094,2047.8598391755463,0.20607741177082062,485.9630432128906,11.613885795110493,518.2684804563784,484.0433044433594,0.9333104491233826,518.2684804563784,0.9251952171325684,73.26677688578214,336.0,-752.365234375,526.621826171875,791.6275625228882,0.9093761444091797,58000,0.005952380952380952,336.0,0.006145386071268126,0.2912980020046234,0.16693207621574402
30,172.32471264367817,2562.369140625,0.46461227536201477,603.3818359375,0.26701951026916504,0.20174795657396316,181.5151824951172,2147.2931064601794,0.2056630402803421,502.4812316894531,11.404936595471053,608.4525168028223,502.09271240234375,0.9187873601913452,608.4525168028223,0.923820436000824,73.14478349035831,348.0,-816.5296630859375,577.489501953125,820.2908961772919,0.8966594934463501,60000,0.005747126436781609,348.0,0.006924774844929294,0.39423561096191406,0.3238120377063751
31,172.19220055710306,1417.4989013671875,0.4667693078517914,642.4234619140625,0.27005675435066223,0.2120694263279438,212.62625122070312,2240.000400109057,0.20554177463054657,507.77886962890625,11.286011675065689,679.9092566755006,507.9817199707031,0.9046262502670288,679.9092566755006,0.9230309128761292,73.17216988536569,359.0,-883.306640625,615.3587646484375,847.3166792392731,0.8761072754859924,62000,0.005571030640668524,359.0,0.006924774844929294,0.3946567177772522,0.3205466568470001
32,171.88978494623655,1409.899169921875,0.46949172019958496,712.9630126953125,0.2762525975704193,0.193518089056015,245.0259246826172,2375.5050534213087,0.20532727241516113,522.1383056640625,11.18277698499778,753.620101338423,522.6103515625,0.9018964171409607,753.620101338423,0.9212649464607239,73.24380908386368,372.0,-946.5238037109375,683.7569580078125,873.7939875125885,0.9244247078895569,64000,0.005376344086021506,372.0,0.00652345114787383,0.29707884788513184,0.3576660454273224
33,171.98433420365535,1623.8067626953125,0.4705001413822174,778.5919799804688,0.2808143198490143,0.19608379662036896,281.256103515625,2538.1119689689453,0.20632386207580566,545.75634765625,11.065865672609085,815.8227249904306,547.7434692382812,0.9392582774162292,815.8227249904306,0.9199730753898621,72.97108983405386,383.0,-984.432373046875,744.09228515625,904.4677851200104,0.944394052028656,66000,0.005221932114882507,383.0,0.006924774844929294,0.2499733567237854,0.1686059534549713
34,171.89620253164557,2392.242431640625,0.4713546335697174,828.7249145507812,0.282863050699234,0.19480900704860687,315.12451171875,2593.256239737366,0.20731215178966522,574.5712280273438,10.993151105394892,871.8792107690924,572.7728881835938,0.9144173860549927,871.8792107690924,0.9191851615905762,72.96902790355205,395.0,-1034.2554931640625,802.5914306640625,931.9022324085236,0.9387349486351013,68000,0.007594936708860759,395.0,0.006145386071268126,0.2295932173728943,0.34482434391975403
35,173.63771712158808,2594.656494140625,0.47104859352111816,873.2584228515625,0.2821525037288666,0.20412110581994056,343.02716064453125,2580.6251590572647,0.2108137607574463,600.1964111328125,10.929422030882895,890.3527238414957,600.3474731445312,0.9231164455413818,890.3527238414957,0.9189836978912354,73.01664596543525,403.0,-1058.05322265625,844.53173828125,958.6855034828186,0.9211170673370361,70000,0.007444168734491315,403.0,0.006394913388759758,0.2604793310165405,0.3065110743045807
36,174.60194174757282,1129.03564453125,0.47060713171958923,886.5148315429688,0.2808802127838135,0.20358915984630585,369.131103515625,2658.556883331447,0.21139605343341827,624.1565551757812,10.841466145685187,936.8593646365235,623.1331787109375,0.9046099185943604,936.8593646365235,0.9191146492958069,73.12113874953597,412.0,-1096.45751953125,857.7816162109375,984.6673784255981,0.9105364680290222,72000,0.007281553398058253,412.0,0.006145386071268126,0.3194754421710968,0.3276193141937256
37,175.5083135391924,2497.27734375,0.4723166525363922,924.7705688476562,0.2803877890110016,0.19642215743660926,399.8203125,2788.097431352697,0.21137802302837372,646.751953125,10.798910119331932,985.8188090766154,647.1970825195312,0.881665050983429,985.8188090766154,0.9189391136169434,72.85289270455989,421.0,-1115.4072265625,894.5341796875,1015.745528459549,0.9143934845924377,74000,0.009501187648456057,421.0,0.006024297687744463,0.29741108417510986,0.400710791349411
38,175.90972222222223,3045.9462890625,0.4725011885166168,923.0576782226562,0.28115665912628174,0.20783104807138442,426.7878723144531,2741.2968593385367,0.21160204708576202,688.5472412109375,10.709448622621128,1032.4716874919145,692.9691772460938,0.9479342699050903,1032.4716874919145,0.9183058142662048,72.6396359734423,432.0,-1136.9547119140625,895.3017578125,1046.2607498168945,0.9261218905448914,76000,0.009259259259259259,432.0,0.0059055952237471445,0.24153465032577515,0.15425585210323334
39,176.3733031674208,4938.61767578125,0.4741450250148773,921.8493041992188,0.27850452065467834,0.2007136285305023,453.365234375,2593.5502453285403,0.2114921361207962,707.9046020507812,10.74333606253756,1021.2144953302748,710.6788940429688,0.9410693049430847,1021.2144953302748,0.91886967420578,72.71260482446655,442.0,-1174.2586669921875,894.5477294921875,1072.716349363327,0.9097142815589905,78000,0.00904977375565611,442.0,0.006024297687744463,0.26588091254234314,0.18515321612358093
40,177.67777777777778,2123.139892578125,0.4752124845981598,949.7332153320312,0.27834463119506836,0.21464503586292266,456.0636901855469,2131.7364773411273,0.21147550642490387,742.7141723632812,10.877513115632052,955.5838944514035,744.9736328125,0.9412189722061157,955.5838944514035,0.9186028242111206,72.47318224992385,450.0,-1190.6011962890625,927.5274658203125,1103.8565924167633,0.9339088201522827,80000,0.008888888888888889,450.0,0.005346258315755479,0.2081557810306549,0.18216772377490997
41,177.84381778741866,4106.3125,0.4765098989009857,941.2181396484375,0.2799898386001587,0.19899239957332612,483.9151611328125,2163.7381097098055,0.21167540550231934,776.6209106445312,10.810984612228928,1005.2966991549566,779.7343139648438,0.9560539126396179,1005.2966991549566,0.9179564118385315,72.39109572106315,461.0,-1179.8388671875,919.4611206054688,1132.7359972000122,0.9572622179985046,82000,0.008676789587852495,461.0,0.0059055952237471445,0.14737991988658905,0.18675944209098816
42,178.59787234042554,1941.8677978515625,0.477224737405777,901.876953125,0.28203853964805603,0.19740009799599648,513.3131713867188,2283.2990391729486,0.2111540287733078,769.6517333984375,10.711540097460071,1069.4312503053275,768.8040771484375,0.9401776194572449,1069.4312503053275,0.917273998260498,72.46346250787461,470.0,-1222.7369384765625,877.9668579101562,1159.2048888206482,0.9550913572311401,84000,0.00851063829787234,470.0,0.006024297687744463,0.17377804219722748,0.2070457935333252
43,178.94583333333333,4934.27490234375,0.47725382447242737,918.142822265625,0.2823526859283447,0.19776708617806435,541.97802734375,2426.7063601955633,0.21103312075138092,771.76318359375,10.63958746638465,1132.2035191570608,774.5731811523438,0.940983772277832,1132.2035191570608,0.9168598055839539,72.46248611600457,480.0,-1234.456787109375,894.279296875,1186.820996761322,0.9483512043952942,86000,0.008333333333333333,480.0,0.0057892316672357065,0.14357632398605347,0.1434677243232727
44,179.5857142857143,1380.7208251953125,0.47593116760253906,924.36669921875,0.2819928526878357,0.2123375703394413,565.764404296875,2431.208075898788,0.2117069512605667,794.9390869140625,10.535522986480956,1167.3753192443764,797.75390625,0.9607645869255066,1167.3753192443764,0.9168398976325989,72.21371129377549,490.0,-1271.301025390625,895.9681396484375,1218.6051433086395,0.9508352875709534,88000,0.00816326530612245,490.0,0.005240915906043995,0.14233750104904175,0.13897845149040222
45,180.15030060120242,1632.9764404296875,0.4767865240573883,924.4827880859375,0.28295639157295227,0.20806351125240327,590.3253173828125,2458.4803210312634,0.2122192233800888,806.04248046875,10.507551962710346,1213.1917267773063,809.2538452148438,0.9489806890487671,1213.1917267773063,0.9160719513893127,72.2293627648591,499.0,-1260.48681640625,899.4757080078125,1246.0306522846222,0.957144558429718,90000,0.008016032064128256,499.0,0.005240915906043995,0.1491258144378662,0.17736254632472992
46,180.69351669941062,2175.54833984375,0.4758172333240509,926.361083984375,0.28247353434562683,0.20727624922990798,611.1423950195312,2539.4240622602683,0.21202705800533295,809.3724975585938,10.415869236520571,1250.1555610791565,812.39990234375,0.9609259963035583,1250.1555610791565,0.9159614443778992,72.29966617539934,509.0,-1325.7880859375,897.7235107421875,1272.4816706180573,0.9708226323127747,92000,0.007858546168958742,509.0,0.005563337841870998,0.11301207542419434,0.15565088391304016
47,181.0019267822736,7944.57958984375,0.4766038656234741,937.62353515625,0.283160537481308,0.2076789277791977,633.2581176757812,2542.1136886877366,0.21193520724773407,815.1768798828125,10.356371723367397,1282.6902257477072,811.3040161132812,0.9490880966186523,1282.6902257477072,0.9155711531639099,72.3679991816083,519.0,-1307.0458984375,914.2191162109375,1298.9166629314423,0.9692432284355164,94000,0.007707129094412331,519.0,0.005346258315755479,0.14785733819007874,0.1454160064458847
48,180.988679245283,2563.260498046875,0.476466566324234,927.89013671875,0.28435268998146057,0.2094007156789303,653.3859252929688,2558.7960607453037,0.2118036299943924,851.4088134765625,10.309649965872433,1315.1902512843392,849.3942260742188,0.9588514566421509,1315.1902512843392,0.9150598645210266,72.34022311980257,530.0,-1293.7943115234375,897.3804321289062,1327.0625367164612,0.9592793583869934,96000,0.009433962264150943,530.0,0.005137649157968821,0.10643310099840164,0.1423977017402649
49,181.73469387755102,2020.0718994140625,0.47702136635780334,940.0924072265625,0.2845969498157501,0.1993695954978466,666.6529541015625,2635.265860351767,0.21141433715820312,848.859130859375,10.280830760971108,1334.7014613880588,847.6153564453125,0.9613848924636841,1334.7014613880588,0.9148139357566833,72.4199807048106,539.0,-1331.685302734375,915.7384033203125,1353.217703819275,0.9393481612205505,98000,0.012987012987012988,539.0,0.005346258315755479,0.2373075932264328,0.15311995148658752
50,182.93589743589743,2110.953369140625,0.47805705666542053,904.6431274414062,0.28548309206962585,0.19911753952503206,676.8278198242188,2875.0504938769427,0.21103955805301666,868.8016357421875,10.281780024949681,1340.7233740188692,867.1421508789062,0.9309471845626831,1340.7233740188692,0.9145581126213074,72.36642634138084,546.0,-1299.8748779296875,877.2164916992188,1381.856270313263,0.9448010921478271,100000,0.01282051282051282,546.0,0.005036417172795629,0.19580228626728058,0.2636702060699463
51,182.96409335727108,1197.8209228515625,0.47862276434898376,900.890625,0.28666773438453674,0.20762308865785598,697.9086303710938,3181.0114458679327,0.21042899787425995,877.5377197265625,10.190750807619647,1382.5838827834996,875.67529296875,0.941033661365509,1382.5838827834996,0.9137913584709167,72.35217129755965,557.0,-1284.077880859375,872.269775390625,1409.7710983753204,0.9540459513664246,102000,0.01436265709156194,557.0,0.005453718107902164,0.19226525723934174,0.27767643332481384
52,183.07042253521126,2979.3896484375,0.4781571924686432,875.007080078125,0.28792139887809753,0.19800673112273215,716.7459106445312,3229.0531267904903,0.21063637733459473,871.2526245117188,10.069286377237654,1432.0918258599122,868.9599609375,0.9468576908111572,1432.0918258599122,0.9133481383323669,72.29871982169333,568.0,-1289.18603515625,843.1153564453125,1438.476369380951,0.9336146712303162,104000,0.01584507042253521,568.0,0.005346258315755479,0.27241575717926025,0.22127099335193634
53,183.21799307958477,1877.4775390625,0.47794413566589355,880.2593994140625,0.2873474657535553,0.21003078803420067,734.5338745117188,3176.239706602447,0.21071048080921173,878.1454467773438,9.96404538315535,1474.1860376829663,879.4115600585938,0.9470629096031189,1474.1860376829663,0.9131622314453125,72.35070929885524,578.0,-1291.198486328125,850.2609252929688,1465.085844039917,0.9400914311408997,106000,0.01903114186851211,578.0,0.0057892316672357065,0.2633671462535858,0.20354749262332916
54,184.3955479452055,3136.716796875,0.47827911376953125,842.5426025390625,0.287822425365448,0.1979343204200268,735.0182495117188,3043.6727956430377,0.21048788726329803,895.9169921875,9.979568651869892,1472.648337352094,894.23486328125,0.9367100596427917,1472.648337352094,0.9129388332366943,72.41902672837989,584.0,-1291.4794921875,816.9117431640625,1491.3207879066467,0.9479942321777344,108000,0.018835616438356163,584.0,0.005240915906043995,0.2234223335981369,0.22081780433654785
55,184.84873949579833,4001.913818359375,0.47738683223724365,903.3087158203125,0.28954455256462097,0.20293548226356506,751.5787353515625,3130.049998481211,0.21057789027690887,867.7255249023438,9.884094996486981,1514.7163313071705,865.23486328125,0.9273937940597534,1514.7163313071705,0.9120447039604187,72.45462556584411,595.0,-1346.5780029296875,868.60107421875,1518.1915459632874,0.9521142840385437,110000,0.020168067226890758,595.0,0.0057892316672357065,0.1921398937702179,0.2952234148979187
56,185.18211920529802,1546.3231201171875,0.47796905040740967,911.0769653320312,0.28939035534858704,0.2058071967959404,771.3511962890625,3164.969349627132,0.2101406306028366,877.7945556640625,9.81641427062942,1555.9400720030962,878.748779296875,0.9280098080635071,1555.9400720030962,0.9118829965591431,72.44500823270639,604.0,-1331.646240234375,881.1580810546875,1546.000238418579,0.9436343908309937,112000,0.019867549668874173,604.0,0.005346258315755479,0.26336365938186646,0.2549543082714081
57,185.45602605863192,2518.00341796875,0.47921058535575867,934.8878784179688,0.29003018140792847,0.19197052463889122,790.6309204101562,3358.9788498015932,0.20981168746948242,904.0614013671875,9.747881231479202,1605.510301663537,903.6856689453125,0.9287762641906738,1605.510301663537,0.9116111397743225,72.47004191851231,614.0,-1340.7998046875,906.4266967773438,1573.0638065338135,0.9289776682853699,114000,0.021172638436482084,614.0,0.005036417172795629,0.26476961374282837,0.29502978920936584
